,location,year
366,Turkey,2010
367,Turkey,2011
368,Turkey,2012
369,Turkey,2013
370,Turkey,2015
371,Turkey,2016
372,Indonesia,2000
373,Indonesia,2001
374,Indonesia,2002
375,Indonesia,2003
376,Indonesia,2004
377,Indonesia,2005
378,Papua New Guinea,1996
379,Mali,2007
380,Mali,2008
381,Mali,2009
382,Mali,2012
383,Mali,2014
384,Mali,2015
385,Rwanda,1996
386,Rwanda,1997
387,Rwanda,1998
388,Rwanda,1999
389,Rwanda,2000
390,Rwanda,2001
391,Rwanda,2002
392,Rwanda,2009
393,Rwanda,2010
394,Rwanda,2011
395,Rwanda,2012
396,Rwanda,2016
397,Senegal,1997
398,Senegal,1998
399,Senegal,2000
400,Senegal,2001
401,Senegal,2003
402,Senegal,2011
403,Djibouti,1999
404,Haiti,2004
405,Sierra Leone,1996
406,Sierra Leone,1997
407,Sierra Leone,1998
408,Sierra Leone,1999
409,Sierra Leone,2000
410,Sierra Leone,2001
411,Algeria,1996
412,Algeria,1997
413,Algeria,1998
414,Algeria,1999
415,Algeria,2000
416,Algeria,2001
417,Algeria,2002
418,Algeria,2003
419,Algeria,2004
420,Algeria,2005
421,Algeria,2006
422,Algeria,2007
423,Algeria,2008
424,Algeria,2009
425,Algeria,2010
426,Algeria,2011
427,Algeria,2012
428,Algeria,2013
429,Algeria,2014
430,Algeria,2015
431,Algeria,2016
432,Angola,1996
433,Angola,1997
434,Angola,2004
435,Angola,2007
436,Angola,2009
437,Azerbaijan,1997
438,Azerbaijan,1998
439,Azerbaijan,2005
440,Azerbaijan,2008
441,Azerbaijan,2012
442,Azerbaijan,2014
443,Azerbaijan,2015
444,Azerbaijan,2016
445,Egypt,1996
446,Egypt,1997
447,Egypt,1998
448,Egypt,2014
449,Georgia,2004
450,Georgia,2008
451,Tajikistan,1996
452,Tajikistan,1997
453,Tajikistan,1998
454,Tajikistan,2000
455,Tajikistan,2010
456,Tajikistan,2011
457,Mexico,1996
458,Russia,1996
459,Russia,1999
460,Russia,2000
461,Russia,2001
462,Russia,2002
463,Russia,2003
464,Russia,2004
465,Russia,2005
466,Russia,2006
467,Russia,2007
468,Pakistan,1996
469,Pakistan,2010
470,Cameroon,1996
471,Comoros,1997
472,Congo,2002
473,Eritrea,1998
474,Eritrea,2000
475,Eritrea,2016
476,Guinea-Bissau,1998
477,Guinea-Bissau,1999
478,Lesotho,1998
479,Serbia,1998
480,Serbia,1999
481,Uzbekistan,1999
482,Uzbekistan,2000
483,Uzbekistan,2004
484,Central African Republic,2001
485,Central African Republic,2002
486,Central African Republic,2006
487,Central African Republic,2009
488,Central African Republic,2010
489,Central African Republic,2011
490,Central African Republic,2012
491,Central African Republic,2013
492,Macedonia,2001
493,United States of America,2001
494,United States of America,2002
495,United States of America,2003
496,United States of America,2004
497,United States of America,2005
498,United States of America,2006
499,United States of America,2007
500,United States of America,2008
501,United States of America,2009
502,United States of America,2010
503,United States of America,2011
504,United States of America,2012
505,United States of America,2013
506,United States of America,2014
507,United States of America,2015
508,United States of America,2016
509,Ivory Coast,2002
510,Ivory Coast,2003
511,Ivory Coast,2004
512,Ivory Coast,2011
513,Australia,2003
514,Thailand,2003
515,Thailand,2004
516,Thailand,2005
517,Thailand,2006
518,Thailand,2007
519,Thailand,2008
520,Thailand,2009
521,Thailand,2010
522,Thailand,2011
523,Thailand,2012
524,Thailand,2013
525,Thailand,2014
526,Thailand,2015
527,Thailand,2016
528,Nigeria,2004
529,Israel,1997
530,Israel,1998
531,Israel,1999
532,Niger,1997
533,Niger,2007
534,Niger,2008
535,Russia,2008
536,Russia,2009
537,Russia,2010
538,Russia,2011
539,Russia,2012
540,Russia,2013
541,Russia,2014
542,Russia,2015
543,Djibouti,2008
544,Mauritania,2010
545,Mauritania,2011
546,South Sudan,2011
547,South Sudan,2012
548,South Sudan,2013
549,South Sudan,2014
550,South Sudan,2015
551,South Sudan,2016
552,Libya,2011
553,Libya,2014
554,Libya,2015
555,Mali,2013
556,Mali,2016
557,China,2008
558,Bangladesh,2005
559,Bangladesh,2006
560,Malaysia,2013
561,Ukraine,2014
562,Ukraine,2015
563,Ukraine,2016
564,Russia,2016
565,Niger,2015
566,Niger,2016
567,Chad,2015
568,Kenya,2015
569,Kenya,2016
570,Egypt,2015
571,Egypt,2016
572,Bangladesh,2016
573,Lebanon,2014
574,Lebanon,2015
575,Libya,2016
576,Jordan,2016
